key,type,部材数,部材,列,ボルト,gt,B,S,l①,l②,l③,短期許容耐力,A
[-100x50x5x7.5,溝形鋼,1,[-100x50x5x7.5,1列,5-M20,9,130,8,,161,177,166.1,11.92
[-125x65x6x8,溝形鋼,1,[-125x65x6x8,1列,6-M20,9,180,8,,229,245,248.8,17.11
[-150x75x6.5x10,溝形鋼,1,[-150x75x6.5x10,千鳥,8-M20,9,240,8,,295,311,334.7,23.71
[-150x75x9x12.5,溝形鋼,1,[-150x75x9x12.5,千鳥,9-M20,9,300,8,,382,398,434.5,30.59
[-200x90x8x13.5,溝形鋼,1,[-200x90x8x13.5,2列,10-M20,12,300,10,,394,414,540,38.65
2[-100x50x5x7.5,溝形鋼,2,[-100x50x5x7.5,1列,5-M20,12,205,10,,288,308,508.5,23.84
2[-125x65x6x8,溝形鋼,2,[-125x65x6x8,1列,6-M20,16,220,13,,327,353,742.1,34.22
2[-150x75x6.5x10,溝形鋼,2,[-150x75x6.5x10,千鳥,8-M20,16,305,13,,440,466,1022,47.42
2[-150x75x9x12.5,溝形鋼,2,[-150x75x9x12.5,千鳥,10-M20,16,380,13,,557,583,1309.8,61.18
2[-200x90x8x13.5,溝形鋼,2,[-200x90x8x13.5,2列,12-M20,19,410,16,,565,597,1618.2,77.3
FB-65x6,平鋼,1,FB-65x6,,2-M16,6,65,6,117,71,83,66.3,3.9
FB-75x6,平鋼,1,FB-75x6,,2-M16,6,75,6,142,83,95,80.4,4.5
FB-65x9,平鋼,1,FB-65x9,,3-M16,9,65,8,131,82,98,99.4,5.85
FB-75x9,平鋼,1,FB-75x9,,3-M16,9,75,8,159,96,112,120.6,6.75
FB-90x9,平鋼,1,FB-90x9,,3-M20,9,90,8,190,111,127,143.8,8.1
FB-100x9,平鋼,1,FB-100x9,,3-M20,9,100,8,218,125,141,165,9
FB-90x12,平鋼,1,FB-90x12,,3-M20,12,90,10,202,121,141,191.8,10.8
FB-100x12,平鋼,1,FB-100x12,,4-M20,12,100,10,232,136,156,220,12
FB-90x16,平鋼,1,FB-90x16,,4-M20,12,115,10,270,155,175,255.7,14.4
FB-100x16,平鋼,1,FB-100x16,,5-M20,12,130,10,309,175,195,293.3,16
L-65x65x6,山形鋼（シングル）,1,L-65x65x6,,5-M16,9,90,8,170,101,117,105.6,7.527
L-75x75x6,山形鋼（シングル）,1,L-75x75x6,,5-M16,9,95,8,202,117,133,126.8,8.727
L-75x75x9,山形鋼（シングル）,1,L-75x75x9,,5-M16,9,125,8,291,162,178,180.8,12.69
L-75x75x12,山形鋼（シングル）,1,L-75x75x12,,6-M16,9,160,8,362,197,213,232.6,16.56
L-90x90x7,山形鋼（シングル）,1,L-90x90x7,,5-M20,9,125,8,282,157,173,176.9,12.22
L-90x90x10,山形鋼（シングル）,1,L-90x90x10,,5-M20,9,165,8,389,211,227,242,17
L-90x90x13,山形鋼（シングル）,1,L-90x90x13,,6-M20,12,160,10,395,218,238,305.5,21.71
L-100x100x7,山形鋼（シングル）,1,L-100x100x7,,4-M20,9,135,8,303,168,184,201.6,13.62
L-100x100x10,山形鋼（シングル）,1,L-100x100x10,,5-M20,9,185,8,443,238,254,277.3,19
L-100x100x13,山形鋼（シングル）,1,L-100x100x13,,6-M20,12,180,10,448,244,264,351.3,24.31
2L-65x65x6,山形鋼（ダブル・背中合わせ）,2,L-65x65x6,,5-M16,9,165,8,339,216,232,303,15.054
2L-75x75x6,山形鋼（ダブル・背中合わせ）,2,L-75x75x6,,5-M16,9,190,8,474,253,269,359.4,17.454
2L-75x75x9,山形鋼（ダブル・背中合わせ）,2,L-75x75x9,,5-M20,12,205,10,531,286,306,503.4,25.38
2L-75x75x12,山形鋼（ダブル・背中合わせ）,2,L-75x75x12,,7-M16,12,260,10,667,354,374,633.2,33.12
2L-90x90x7,山形鋼（ダブル・背中合わせ）,2,L-90x90x7,,5-M20,12,205,10,529,285,305,502,24.44
2L-90x90x10,山形鋼（ダブル・背中合わせ）,2,L-90x90x10,,5-M20,12,270,10,733,387,407,695.6,34
2L-90x90x13,山形鋼（ダブル・背中合わせ）,2,L-90x90x13,,7-M20,12,340,10,933,487,507,886,43.42
2L-100x100x7,山形鋼（ダブル・背中合わせ）,2,L-100x100x7,,5-M20,12,225,10,598,319,339,567.8,27.24
2L-100x100x10,山形鋼（ダブル・背中合わせ）,2,L-100x100x10,,6-M20,12,305,10,832,436,456,789.6,38
2L-100x100x13,山形鋼（ダブル・背中合わせ）,2,L-100x100x13,,8-M20,12,385,10,1062,551,571,1008.2,48.62
2L-65x65x6,山形鋼（ダブル・並列）,2,L-65x65x6,,5x2-M16,9,160,8,339,186,202,211.3,15.054
2L-75x75x6,山形鋼（ダブル・並列）,2,L-75x75x6,,5x2-M16,9,185,8,404,218,234,253.6,17.454
2L-75x75x9,山形鋼（ダブル・並列）,2,L-75x75x9,,5x2-M16,9,250,8,581,307,323,361.6,25.38
2L-75x75x12,山形鋼（ダブル・並列）,2,L-75x75x12,,6x2-M16,9,315,8,723,378,394,465.3,33.12
2L-90x90x7,山形鋼（ダブル・並列）,2,L-90x90x7,,5x2-M20,9,250,8,564,298,314,353.9,24.44
2L-90x90x10,山形鋼（ダブル・並列）,2,L-90x90x10,,5x2-M20,9,330,8,777,405,421,484.1,34
2L-90x90x13,山形鋼（ダブル・並列）,2,L-90x90x13,,6x2-M20,12,320,10,789,415,435,611,43.42
2L-100x100x7,山形鋼（ダブル・並列）,2,L-100x100x7,,4x2-M20,9,270,8,605,319,335,403.2,27.24
2L-100x100x10,山形鋼（ダブル・並列）,2,L-100x100x10,,5x2-M20,9,370,8,885,459,475,554.6,38
2L-100x100x13,山形鋼（ダブル・並列）,2,L-100x100x13,,6x2-M20,12,355,10,896,468,488,702.6,48.62
